,description,link,location,name,price,rooms,surface
0,"Abilia lanza un proyecto único e irrepetible al sur de la Ciudad de México, inmerso en un bosque protegido con un castillo medieval que, combinado con una arquitectura de vanguardia, brindan la posibilidad de vivir rodeado de naturaleza con todas las comodidades actuales. El 80% del terreno de Bosque 6060 son áreas verdes boscosas destinadas al disfrute de actividades al aire libre con senderos para caminatas y áreas de estar. Los departamentos que van desde 197 m2 hasta 338 m2, cuentan con tres recámaras, sala comedor, family room, elevador directo a piso, terraza, balcón y algunos con jardines privados. Seguridad, tranquilidad y calidad son atributos que convierten a Bosque 6060 en uno de los mejores proyectos para vivir en la Ciudad de México.",https://www.inmuebles24.com/propiedades/bosque-6060-52913725.html,"Desierto de los Léones 6060 Ciudad de México - Olivar de los Padres, Alvaro Obregón",Bosque 6060,14717032,3 Rec.,240 a 337 m²
1,"Mítikah Torre Residencial es un innovador proyecto residencial que cuenta con amenidades únicas y singulares vistas panorámicas de la Ciudad de México. El reconocido arquitecto César Pelli es el encargado de concebir un rascacielos que logra simbolizar el México contemporáneo el cual promueve un complejo residencial moderno con área comercial, oficinas, servicios y espacios de recreación para sus residentes. Mítikah Torre Residencial ofrece un estilo de vida de primer nivel con grandiosas amenidades y entretenimiento sin límites. Amenidades. Salón de eventos (con capacidad de hasta 260 personas) Sala de cine. Alberca. Ludoteca. Área de juegos infantiles. Family rooms para visitas. Game room. Spa y Sauna. Sky pool con carril de nado. Gimnasio. Salón de spinning. Salón de yoga. Lounge. Salón de adultos. Motor Lobby con cuarto y baño de choferes. Conexión con centro comercial y supermercado. Lobby con buzones de correo. Ballroom con con sala de estar, foyer, guarda ropa y recepción. Área para futbolito scorpion. Alberca infantil, pilates y yoga con vestidores. Juice Bar. Salón de spinning. Salón de poker. Centro comercial con cine, restaurantes, boutiques triple aaa, Restaurantes, food court, gourmet y de mantel. Los departamentos de entregan con acabados.",https://www.inmuebles24.com/propiedades/mitikah-torre-residencial-52598256.html,"Rio Churubusco 601 - Xoco, Benito Juárez",Mitikah Torre Residencial,5513943,1 a 3 Rec.,68 a 202 m²
2,"Edificio San Rafael es una opción única para formar parte de la zona de Reforma Centro. La fachada catalogada, compuesta de cantera, otros materiales y ornamentos, viste nuestro desarrollo de una manera elegante y única, dándole al desarrollo un valor agregado de historia y vanguardia. Se restaurará completamente bajo los lineamientos del inba. Ofrecemos espacios distribuidos con roof gardens, terrazas o balcones originales. Departamentos de 1 a 2 recámaras, distribuidos en 1, 2 ó 3 pisos. Descubre la nueva cara de la Colonia San Rafael, una de las zonas con mejor ubicación y servicios y que se encuentra en pleno proceso de renovación por los nuevos desarrollos y la restauración del corredor del Jardín del Arte, Monumento a la Madre que abonará a los beneficios de la colonia. Proyecto de 44 departamentos. Desarrollado por Invermartin. Comercializado por Alaya y Ale Comercial",https://www.inmuebles24.com/propiedades/edificio-san-rafael-53415471.html,"SERAPIO RENDON 109 - San Rafael, Cuauhtémoc",Edificio San Rafael,3915405,2 Rec.,70 a 98 m²
3,"Sennse. 74 departamentos en Preventa en una de las mejores zonas de la Ciudad. Col. Narvarte. Ven a conocer este hermoso desarrollo. Disfrutarás de sus áreas comunes: Fitness Club, Kid´s Club, Asadores, Salón de usos múltiples. Departamentos de 76 a 122 m2 habitables, 2 y 3 rec., 2 baños, 1 y 2 estacionamientos y cuentan con balcón. ¡Te esperamos!",https://www.inmuebles24.com/propiedades/sennse.-nueva-preventa-de-departamentos-en-concepcion-54218816.html,"Concepción Beistegui 1410 - Narvarte, Benito Juárez",Sennse. Nueva Preventa de Departamentos en Concepción Beistegui,3433100,2 Rec.,80 a 122 m²
4,"Estos bellos departamentos en Álvaro Obregón - Carolla iii, en preventa, cuentan con vigilancia, lobby, áreas verdes, pista para correr y más. Dentro de los Desarrollos inmobiliarios en la cdmx, Carola iii tiene la ventaja de encontrarse cerca de las principales vialidades y de contar con diversos sitios de interés a su alrededor, como lo es el llamado ""Bazar del sábado"", en donde se pueden adquirir artesanías mexicanas y tomar un desayuno folclórico mexicano.",https://www.inmuebles24.com/propiedades/carola-lll-quiero-casa-alvaro-obregon-54286911.html,"Prolongación San Antonio, No. - Carola, Alvaro Obregón",Carola Lll - Quiero Casa - Álvaro Obregón,2517318,2 a 3 Rec.,78 a 100 m²
5,"Descripción. Increíble departamento en Venta, semiamoblado de 170mts en el Residencial Terre de Santa Fe, tiene 2 recamaras, 3. 5 baños, cuarto y baño de servicio, amplia cocina con isla, family room abierto, 2 estacionamientos, amenidades: alberca techada, juegos para niños, gym, canchas, salón de adultos, salón de fiestas, jardín para mascotas.",https://www.inmuebles24.com/propiedades/departamento-en-venta-en-santa-fe-2-recamaras.-54401892.html,"ave javier barros - Santa Fe Cuajimalpa, Cuajimalpa de Morelos","Departamento en Venta en Santa Fe, 2 Recamaras.",9195000,-,170 m²
6,"Lindo departamento ubicadísimo a 2 calles del World Trade Center, totalmente remodelado, iluminado, se puede vender con muebles nuevos o sin muebles, incluye pantalla, sala/comedor, recámara completa, cocina equipada con horno de microondas, refrigerador, lavadora/secadora, como inversión se rentan en $15, 000. 00. Sin estacionamiento, en cuarto piso sin elevador. El edificio tiene excelente mantenimiento. A media calle hay una pensión. Citas Ver datos",https://www.inmuebles24.com/propiedades/napoles-vendo-departamento-53281900.html,"Yosemite 71 - Napoles, Benito Juárez",Napoles Vendo Departamento,2300000,-,60 m²
7,"Exelente departamento impecable, amplio iluminado en segundo piso en un edificio de seis departamentos, sala, comedor, cocina equipada patio de servicio, dos recamaras, un baño, un estacionamiento con porton electrico, asepatamos, todos los creditos, infonavit, fovissste, bancarios, se lo tramitamos",https://www.inmuebles24.com/propiedades/departamento-en-tlalpan-54453669.html,"cristobal escobar - Miguel Hidalgo, Tlalpan",Departamento en Tlalpan,1700000,-,98 m²
8,"Departamento en Venta de 2 plantas, la planta baja con 3 terrazas, Garden, cocina integral, sala comedor, lavandería, 1 recamara con baño completo y la segunda planta con la otra recamara y su baño completo. Acabados de lujo, 2 estacionamientos y una bodega. Ubicado cerca de Restaurantes, farmacias, cafés, centros comerciales, etc.",https://www.inmuebles24.com/propiedades/departamento-en-venta-en-polanco-2-recamaras-con-54546801.html,"galileo 105 - Polanco, Miguel Hidalgo","Departamento en Venta en Polanco, 2 Recamaras con Terraza.",1815000,-,240 m²
9,"Exclusivo, amplio y lujoso departamento en La Isla Santa Fe. Ideal para ejecutivos, recién casados. Súper ubicación, a 5 minutos de La Mexicana, de la zona de Corporativos y del Centro Comercial. Se puede entrar por Vasco de Quiroga o por la Carretera Libre. El departamento está espectacular, tiene 2 recámaras, cada una con baño, la principal con gran vestidor y tina. La sala y comedor son de muy buen tamaño, cocina importada de Italia con barra de mármol. Cuarto de servicio. Cuenta con iluminación automatizada y sistema de sonido. Área habitable de 220m2 con terraza divina, privada del departamento de 112m2. Excelentes áreas comunes: gimnasio, alberca, jacuzzi, salón de juegos, sala de cine, ludoteca divina para niños, salón de fiestas, área de asadores. Excelente seguridad en el edificio. Excelente para quienes exigen buen gusto y acabados finos y modernos!",https://www.inmuebles24.com/propiedades/super-depa-para-recien-casados-o-expats-54071612.html,"Alejandro Volta 10 - Santa Fe, Alvaro Obregón",Súper Depa Para Recién Casados o Expats,880000,-,223 m²
