,description,link,location,name,price,rooms,surface,toilettes
0,"¡Últimos Penthouse Disponibles! *Penthouse Con Roof Rarden Privado Que Cuenta Con Asador, Tarja, Medio Baño Y Bodega. *2 Recámaras, 2 Baños Completos,...",https://www.lamudi.com.mx/modelo-ph-3-residencial-orinoco-549485-29.html,"Orinoco 40 bis Zacahuitzco, Benito Juárez",Modelo PH-3. Residencial Orinoco,2939000,2,103,2
1,"Exclusivo desarrollo de solo 5 departamentos de 100 m2 cada uno. Cuenta con Roof Garden, elevador a la puerta de los departamentos, estacionamientos de avanzada tecnologí...",https://www.lamudi.com.mx/correggio-residencial-572363-29.html,"Correggio 65 San Juan, Benito Juárez",Correggio Residencial,4358600,1,100,2
2,"Enrique González 53 PlusEXCLUSIVOS DEPARTAMENTOS de 2 a 3 Recámaras, con superficie de 51 hasta 73 m2 dependiendo de sus necesidades, adicional el des...",https://www.lamudi.com.mx/vereda-verde-enrique-gonzalez-53-plus-592889-29.html,"Dr Enrique Gonzalez Martinez #53 Santa Maria La Ribera, Cuauhtémoc",VEREDA Verde Enrique González 53 Plus,2354000,2,54,1
3,"Aprovecha Precios de PREVENTA, entrega Mayo del 2018Parques Plaza Nuevo Polanco es un concepto inmobiliario de usos mixtos que integra de manera única...",https://www.lamudi.com.mx/parques-plaza-nuevo-polanco-602135-29.html,"Lago Alberto 442 Anahuac I Sección, Miguel Hidalgo",Parques Plaza Nuevo Polanco,3677090,1,52,1
4,"AGRADABLE Y ACOGEDOR DEPARTAMENTO MUY ILUMINADO, EN 2 NIVELES, IDEAL PARA PAREJAS JOVENES, ESTANCIA CON TERRAZA DE 45 M2, COCINA INTEGRAL, CUARTO DE SERVICIO CON BAÑO INT...",https://www.lamudi.com.mx/polanco-agradable-y-acogedor-departamento-muy-iluminado-1023651-29.html,"Francisco Petrarca # 409 Polanco, Miguel Hidalgo","Polanco, Agradable Y Acogedor Departamento Muy Iluminado",1800000,2,280,4
5,"Bonito departamento en Polanco primer piso . Súper iluminado, con 2 balcones y vista a la calle. Cocina abierta a amplia estancia.  Todas las recámaras tienen baño y amp...",https://www.lamudi.com.mx/polanco-departamento-en-primer-piso-super-iluminado-1045459-29.html,"Lamartine 128, Polanco V Sección, Mexico City, Mexico Polanco, Miguel Hidalgo","Polanco, Departamento En Primer Piso, Super Iluminado",13600000,3,155,3
6,"Departamento exterior, 3 recámaras cada una con closet, la principal con baño propio, sala, comedor, cocina equipada, barra desayunador, gabinetes y...",https://www.lamudi.com.mx/departamento-en-amatenango-lomas-del-pedregal-1052438-29.html,"Amatenango, Lomas del Pedregal, Ciudad de México, México Lomas del Pedregal, Tlalpan","Departamento En Amatenango, Lomas Del Pedregal",2200000,3,80,3
7,"Av Revolucion, Mixcoac, Benito Juarez **Oportunidad** Valor Comercial Minimo $ 1,644,000Propiedad En Remate BancarioOfertas Entre El 30 Al 60% Abajo De Su ValorTiempo De...",https://www.lamudi.com.mx/av-revolucion-mixcoac-benito-juarez-941487-29.html,"Mixcoac, Benito Juárez","Av Revolucion, Mixcoac, Benito Juarez",1052000,2,-,1
8,Cuentan al interior con: • COCINA INTEGRAL • SALA - COMEDOR • 2 BAÑO COMPLETOS • RECAMARA CON BALCON • RECAMARA PRINCIPAL CON BAÑO * CUARTO DE LAVAD...,https://www.lamudi.com.mx/departamento-nuevo-al-sur-de-la-ciudad-a-una-cuadra-de-picacho-ajusco-1150376-29.html,"Calle 9 Mzna. 21 lote 2, Col. Miguel Hidalgo 4A Sección, Tlalpan, Ciudad de México. C.p. 14389 Miguel Hidalgo 4A Sección, Tlalpan","Departamento Nuevo Al Sur De La Ciudad, A Una Cuadra De Picacho-Ajusco",2654500,2,88,2
9,"Hágase Propietario De Éste Inmueble En Excelente Oportunidad, Al Comprar Una Recuperación Bancaria Adquiere Los Derechos De Una Propiedad Que Quedó Como Garantía Y No Fue...",https://www.lamudi.com.mx/gran-oportunidad-departamento-en-remate-689082-29.html,"Sabadell 54 San Juan Xalpa, Iztapalapa",Gran Oportunidad. Departamento En Remate,379496,2,65,1
10,"HERMOSO DPTO. CON ACABADOS DE LUJO. COCINA ABIERTA CON TOPE DE GRANITO Y PUERTAS DE MADERA, EQUIPADO CON MICROONDAS Y HORNO EN ACERO INOX., PISOS DE M...",https://www.lamudi.com.mx/be-grand-lomas-en-venta-hermoso-dpto-con-balcon-523478-29.html,"CARRETERA MEXICO TOLUCA Santa Fe, Álvaro Obregón",BE GRAND LOMAS EN VENTA HERMOSO DPTO. CON BALCÓN,5700000,3,117,3
11,Penthouse 375 M De Construccion Sala Comedor Muy Iluminado Family Room Cuarto De Tv  3 Recámaras Con Vestidor Y Baño  Cuarto De Servicio Y Cuarto De Lavado  3 Lugares De...,https://www.lamudi.com.mx/hermoso-departamento-en-bosques-de-las-lomas-en-venta-699267-29.html,"Bosques de las Lomas, Cuajimalpa de Morelos",Hermoso Departamento En Bosques De Las Lomas En Venta,15000000,3,375,3
12,"Preventa entrega en Febrero-Marzo de  2018.  Excelentes departamentos. Localización inmejorable, desde 54 m2, desde 1 recámara, 1 baño y 1 auto, muy buenos acabados, coci...",https://www.lamudi.com.mx/deptos-en-venta-ejercito-nacional-polanco-700924-29.html,"Avenida Ejercito Nacional Ampliación Las Aguilas, Álvaro Obregón",DEPTOS EN VENTA EJERCITO NACIONAL POLANCO,4000000,1,54,1
13,"a 5 minutos del metro Nopalera en desarrollo pequeno, en tercer nivel (ultimo nivel), distribuido en 44 m2, cuenta con estancia, comedor, cocina integral, amplia, area de...",https://www.lamudi.com.mx/departamento-interior-698224-29.html,"Francisco Acuña de Figueroa Zapotitla, Tláhuac",Departamento interior,650000,2,-,1
14,"PREVENTA - Departamento de dos pisos. Planta inferior con Cocina equipada, Sala y Comedor en Concepto Abierto Tipo Americano, Terraza/Balcón, Medio Baño y área de servici...",https://www.lamudi.com.mx/departamento-en-venta-en-actipan-benito-juarez-distrito-federal-705325-29.html,"Actipan, Benito Juárez","Departamento en venta en Actipan, Benito Juárez, Distrito Federal",5860000,2,117,3
15,"PREVENTA - Dos Pisos. Cocina equipada y con barra, Sala y Comedor en amplio Concepto Abierto al que se añade una Cantina con su propia barra. Cuarto de Lavado y Terraza....",https://www.lamudi.com.mx/departamento-en-venta-en-actipan-benito-juarez-distrito-federal-705328-29.html,"Actipan, Benito Juárez","Departamento en venta en Actipan, Benito Juárez, Distrito Federal",6410000,2,128,3
16,"Dos Recámaras, la principal con baño y vestidor. Sala y Comedor en Concepto Abierto. Cocina con Barra. Área de lavado. Amenidades y ambientación: Roof Garden, Cava, Asado...",https://www.lamudi.com.mx/departamento-en-venta-en-del-valle-sur-benito-juarez-distrito-federal-705335-29.html,"Del Valle Sur, Benito Juárez","Departamento en venta en Del Valle Sur, Benito Juárez, Distrito Federal",4630000,2,93,2
17,"Dos recámaras, ambas con baño y vestidor. Cocina con barra, Sala y Comedor en concepto abierto. Terraza/Balcón. Zona de Lavado. - Amenidades y ambientación: Roof Garden,...",https://www.lamudi.com.mx/departamento-en-venta-en-del-valle-sur-benito-juarez-distrito-federal-705336-29.html,"Del Valle Sur, Benito Juárez","Departamento en venta en Del Valle Sur, Benito Juárez, Distrito Federal",5150000,2,104,3
18,"Departamentos en venta desde 55 m2 hasta 166 m2, de una, dos y tres recamaras dos lugares de estacionamiento 14 plantas 10 departamentos por piso, el...",https://www.lamudi.com.mx/departamento-en-venta-en-anahuac-i-seccion-miguel-hidalgo-705296-29.html,"Anahuac I Sección, Miguel Hidalgo","Departamento en Venta, en Anáhuac I Sección, Miguel Hidalgo",4785771,2,85,2
19,"Hermoso Pent House en uno de los mejores edificios de la ciudad. Buen jardín, juegos infantiles , excelente seguridad, dos recamaras con opción a cinc...",https://www.lamudi.com.mx/gran-penthouse-en-las-lomas-709189-29.html,"Lomas de Chapultepec, Miguel Hidalgo",GRAN PENTHOUSE EN LAS LOMAS,5000000,2,600,2
20,Departamento Interior en el corazón de la Del Valle. 95m2.   Se encuentra en 1er. Piso.   2 Recámaras (la Principal con baño completo)   Sala de TV u...,https://www.lamudi.com.mx/venta-departamento-adolfo-prieto-2-recamaras-95m2-super-ubicado-716571-29.html,"Del Valle, Benito Juárez","VENTA DEPARTAMENTO ADOLFO PRIETO, 2 RECÁMARAS, 95M2, SÚPER UBICADO",3200000,2,95,2
21,"PH 4 CAJONES DE ESTACIONAMIENTO TECHADOS, TERRAZA Y BODEGA,CUENTA CON AREAS COMUNES,SALON DE FIESTAS,ALBERCA TECHADA Y AL AIRE LIBRE GIMNASIO AREAS VERDES, PARA MAS INFOR...",https://www.lamudi.com.mx/lujoso-departamento-en-polanco-719541-29.html,"POLANCO IV SECCION Polanco, Miguel Hidalgo",LUJOSO DEPARTAMENTO EN POLANCO,36000000,3,360,3
22,"Hermoso departamento con terraza en planta baja. Cuenta con: 3 recamaras, 2 banos completos, estancia-comedor, cocina equipada, cuarto de lavado. en condominio con fuente...",https://www.lamudi.com.mx/ubicadisimo-en-planta-baja-con-terraza-719679-29.html,"Frontera Roma Norte, Cuauhtémoc","Ubicadisimo, en planta baja con terraza.",5500000,3,91,2
23,"Disfrute de tradicion y vida en el centro de la urbe Capitalina. Goce de ubicacion privilegiada, rodeada de todos los servicios, medios de transportes y vialidades, sin d...",https://www.lamudi.com.mx/departamento-en-venta-col-obrera-712776-29.html,"José María Roa Bárcenas 43-3 Obrera, Cuauhtémoc",Departamento en venta Col. Obrera,1832250,2,71,1
24,"Disfrute de tradicion y vida en el centro de la urbe Capitalina. Goce de ubicacion privilegiada, rodeada de todos los servicios, medios de transportes y vialidades, sin d...",https://www.lamudi.com.mx/departamento-en-venta-col-obrera-712777-29.html,"José María Roa Bárcenas 43-4 Obrera, Cuauhtémoc",Departamento en venta Col. Obrera,2152500,2,83,1
25,"El mejor Pent House del sur con excelente vista. Desarrollado en 3 niveles. Cuenta con: 4 recámaras con vestidor, 3 baños completos y 2 medios baños,...",https://www.lamudi.com.mx/el-mejor-ph-del-sur-con-excelente-vista-708237-25.html,"Av. San Jerónimo Jardines del Pedregal, Álvaro Obregón",El mejor PH del Sur con excelente vista,35000000,4,625,3
26,"Venta De Departamento En Condesa, Decoración Art Pop. Departamento Con Vista A Las Copas De Las Palmeras En La Calle De Tamaulipas, Diseñado Art Pop, Sala, Comedor Con Ba...",https://www.lamudi.com.mx/departamento-en-venta-con-ubicacion-en-condesa-cuauhtemoc-718129-29.html,"Condesa Condesa, Cuauhtémoc","Departamento en Venta con ubicación en Condesa, Cuauhtémoc",6840000,1,120,2
27,"ID:88011, Departamento Seminuevo, de 3 años de antigüedad en 1er piso, con ubicación privilegiada, a dos cuadras del metro San Pedro de los Pinos, a unas cuadras de eje 6...",https://www.lamudi.com.mx/departamento-en-venta-revolucion-san-pedro-de-los-pinos-720157-29.html,"San Pedro de los Pinos, Benito Juárez",Departamento En Venta  Revolucion / San Pedro De Los Pinos,3800000,2,70,2
28,"Espectacular departamento en Planta Baja de 380 M2 más 100 M2 de terraza. Cuenta con 3 recámaras, 3 baños y medio, preciosa sala, comedor, cocina, family TV, 4 lugares de...",https://www.lamudi.com.mx/espectacular-plata-baja-en-alejandro-dumas-734100-29.html,"Polanco, Miguel Hidalgo",Espectacular Plata Baja en Alejandro Dumas,2800000,3,380,3
